word,log_prob_ratio
best professors,5.072860352351884
far best,4.382900506696193
truly cares,4.343962498679039
amazing cares,4.3231100041948505
great cares,4.236889586508749
gem,4.17155042378244
hands best,4.0315343467981855
wont regret,3.9878682778651866
absolutely loved,3.9716135577585554
best ive,3.9086984299850362
easily best,3.905000832003866
goat,3.8449235468332663
super understanding,3.8436894355460822
genuinely cares,3.8063023709355894
awesome,3.7592401993738394
real gem,3.723786119177186
best english,3.7193087249222287
loved taking,3.716139833377923
great sense,3.6912091537606724
amazing caring,3.6450696092639188
amazing instructor,3.6054460208667347
best profs,3.580141807892465
best teachers,3.573269956502454
great feedback,3.568147615473827
gives amazing,3.5634181057493493
great easy,3.5471242498672577
absolutely amazing,3.5306380297892943
truly wants,3.517349440963489
gives great,3.516790339080285
amazing truly,3.515736386732442
amazing,3.512120724851787
amazing super,3.510018469099812
cares wants,3.502853345158343
cares gives,3.4886052277189403
kindest,3.476427287564139
amazing makes,3.4692446351431023
best taken,3.448016981585475
wants succeed,3.4451984807339135
super fun,3.4361822310318804
amazing prof,3.4356342700190456
youll great,3.4236215276731876
best math,3.420058520882792
super caring,3.4120280277100115
cares success,3.405529579249044
super funny,3.391673923056395
literally best,3.3887166840962575
caring wants,3.3675624538053803
favorite professors,3.364019522292926
amazing took,3.3634289052562263
makes enjoyable,3.3626026590990516
great fun,3.3466951298530905
overall amazing,3.3359129565506045
cares understanding,3.3175530346439253
great super,3.3074780209302315
long pay,3.300006072845145
amazing feedback,3.2968237181944904
great interesting,3.2947562059332824
great highly,3.2946963142557593
great great,3.267536837068132
makes engaging,3.262310018640079
best instructors,3.2315579943128068
probably best,3.2226199953868697
totally recommend,3.2165339090631253
loved,3.213081451463524
keeps engaged,3.2104451099247537
amazing gives,3.195556799712298
phenomenal,3.1942407978013314
extremely helpful,3.1895352492883937
great enjoyed,3.182697455057612
amazing definitely,3.179097625215075
great wants,3.1710539337274
awesome cares,3.167715734573525
great clear,3.1569910889836414
great definitely,3.154134764759762
loved having,3.1522039431241744
amazing best,3.1489266551407518
succeed gives,3.132378988048492
fantastic,3.1278787663364476
love love,3.120497987575341
amazing highly,3.116671915706135
amazing easy,3.1075148750505903
great makes,3.1070501936536967
enjoyed taking,3.1019759305690737
best classes,3.1015456784874207
makes sure,3.1006802179889386
solid choice,3.0974297699038082
works make,3.093496933147719
legend,3.0767297034307237
cares makes,3.0698908000464282
caring makes,3.059770965416149
sweetest,3.0549129518663882
great explains,3.053811330423324
genuinely wants,3.053402715342317
shes awesome,3.044259994943152
favorite teachers,3.042508335570531
great truly,3.0370303011360082
great willing,3.0276052705857577
amazing recommend,3.027078851954803
far favorite,3.0258585504954265
hes awesome,3.0210486696556202
amazing shes,3.016674590088691
truly amazing,3.011993506700959
amazing learned,3.0018210363918616
sure understood,3.0009107283068897
funniest,2.9922212005633817
amazing clear,2.9906292492207474
super friendly,2.985854147289393
wish classes,2.984225911500241
understanding caring,2.9841400882135733
loved prof,2.9818275026498693
understanding great,2.972234912395896
fun easy,2.971449949022393
makes interesting,2.9667411901990386
forward going,2.9571486861563745
understanding willing,2.956394416239263
awesome prof,2.956348034534546
excellent,2.956325451138082
best caring,2.9553468449986013
super chill,2.94522205846836
provides great,2.9413967255883176
caring easy,2.940277209042197
great knows,2.9400926399361804
amazing loved,2.93762644648009
amazing job,2.930051709150762
amazing passionate,2.9242871037340095
truly best,2.920716780906684
overall great,2.9164815436903906
true gem,2.916294458218566
super cool,2.911060878173437
absolute gem,2.8954287971513164
excellent feedback,2.8890974059299914
long participate,2.8890534812604454
caring funny,2.878486469431312
glad took,2.8746474726903255
great study,2.8735343649784593
professors cares,2.8725283923709046
amazing genuinely,2.8657460549809155
super approachable,2.858860626909893
sweet understanding,2.8569223585513157
nicest professors,2.8543791488903896
super kind,2.853642647666021
super helpful,2.8527223185966832
cares wellbeing,2.8483986044281426
wonderful,2.8438661653925186
long communicate,2.8347154702446655
amazing helpful,2.8288848652022462
caring helpful,2.8282110723897187
best cares,2.826716342332194
looked forward,2.8249304643847584
great gives,2.8181457973362676
caring gives,2.8169758229659365
coolest,2.8157874530148916
wish taught,2.815525385095853
gave great,2.8124573212445636
amazing funny,2.8102278087648997
funny cares,2.8098096479499493
love prof,2.8090854165803645
cares goes,2.8046017351075054
sets success,2.793754286021036
easy highly,2.7933316267371957
amazing kind,2.790558699640858
amazing amazing,2.789428713753029
sweet cares,2.7880841481324303
gives excellent,2.7852706535352283
amazing lecturer,2.7847181885910146
thoroughly enjoyed,2.784500118436249
shes amazing,2.782206195422546
hes amazing,2.7754555679095088
amazing great,2.7717329861950333
reading interesting,2.7696252583250764
cares willing,2.7684062218417704
great caring,2.7647846045493782
great learned,2.760298941262075
fun learned,2.759033192030399
super interesting,2.75749734246185
seriously best,2.756137590832328
absolutely best,2.747270622634698
understanding long,2.7428946320882517
great make,2.7405100390664288
makes fun,2.74034127487902
wants pass,2.7403117234051138
great took,2.737215273210321
enjoyed,2.736072277037965
actually cares,2.732875120596816
helped understand,2.724125135375763
understanding wants,2.7172055809083986
cares learning,2.713369655225879
excellent instructor,2.7090749704985146
hilarious makes,2.708753000966434
awesome super,2.7085602877908954
enjoyed going,2.7068450673742195
cares deeply,2.704312645680382
awesome easy,2.704028028765224
great tell,2.6991351272913597
engaging fun,2.69354940951348
actually fun,2.690286660939634
fun great,2.6896223285917795
life examples,2.6884259164323403
best far,2.6878848161174744
awesome makes,2.6857181222065023
adore,2.6737636938192217
amazing interesting,2.6729547777095934
gives tools,2.67268661307474
amazing knows,2.671144329789959
fun cares,2.66534904951045
overall solid,2.664834266190047
amazing fun,2.660440407812411
simply best,2.659591992679424
great passionate,2.655984204204783
caring professors,2.6549674283859357
great understanding,2.6512017854619305
awesome took,2.6504931758518566
awesome definitely,2.6490591010112237
highly recommended,2.645893795242353
interesting definitely,2.6449644121959874
gives plenty,2.6407213389743127
long listen,2.640281220105079
extremely caring,2.636719450050032
honestly best,2.6354151952721594
extremely fair,2.6325768111196624
succeed definitely,2.631801671634415
funny caring,2.6281177128816644
caring ive,2.6268940697179435
look forward,2.62599653616652
cares definitely,2.6238268484253275
lots fun,2.622793185868863
sure understands,2.622539581869093
little boring,2.617319439220781
amazing love,2.616758982424697
knowledgeable cares,2.615932870816021
cares student,2.611948797026141
discussions fun,2.609935416653512
awesome great,2.6095647516844593
helpful willing,2.603899770082533
angel,2.6036555269533004
easy understand,2.6031333535106818
plenty opportunities,2.6026802661704753
best prof,2.6002272129049384
easy great,2.5998059652634975
sure succeed,2.5961172373415025
awesome hes,2.593280556270761
amazing human,2.5913423599938685
